ENCODED_MCT,TA_YM,HPSN_MCT_BZN_CD_NM,closure_probability,risk_score,risk_level,risk_type,priority,classification_confidence,MCT_NM
4BF6B1EEF7,202412,,0.96759284,96,Very High,매출 급락형,urgent,0.3,오땅********
2BE8E6A10C,202412,마장동,0.96759284,96,Very High,매출 급락형,urgent,0.3,소지****
3521453C6F,202412,마장동,0.96759284,96,Very High,매출 급락형,urgent,0.3,오성**
261CA88AD3,202412,마장동,0.96759284,96,Very High,매출 급락형,urgent,0.3,현대**
25D2E98F3A,202412,왕십리,0.96759284,96,Very High,매출 급락형,urgent,0.3,무탁****
259546987D,202412,왕십리,0.96759284,96,Very High,매출 급락형,urgent,0.3,82*****
25100A92DC,202412,마장동,0.96759284,96,Very High,매출 급락형,urgent,0.3,마장******
2858CD7B1D,202412,,0.96759284,96,Very High,매출 급락형,urgent,0.3,비엠*****
20CD5C4AB7,202412,,0.96759284,96,Very High,매출 급락형,urgent,0.3,루트*******
2A6D92878C,202412,답십리,0.9634811,96,Very High,매출 급락형,urgent,0.3,먹거***
1A9644F28E,202412,,0.96759284,96,Very High,매출 급락형,urgent,0.3,양가**********
9A012C0993,202412,성수,0.96759284,96,Very High,매출 급락형,urgent,0.3,스위*******
7D0EEB730E,202412,금남시장,0.96759284,96,Very High,매출 급락형,urgent,0.3,돈가********
8187702080,202412,,0.96759284,96,Very High,매출 급락형,urgent,0.3,미고**********
6B3AA25B77,202412,답십리,0.96759284,96,Very High,매출 급락형,urgent,0.3,한국**
6624D7D635,202412,성수,0.96759284,96,Very High,매출 급락형,urgent,0.3,아름**
6A4747F757,202412,뚝섬,0.96759284,96,Very High,매출 급락형,urgent,0.3,에이********
0866C50DAD,202412,,0.96759284,96,Very High,매출 급락형,urgent,0.3,장수**
255EEC201D,202412,행당,0.9569573,95,Very High,매출 급락형,urgent,0.3,호남**
1678DC823A,202412,왕십리,0.9539512,95,Very High,매출 급락형,urgent,0.3,수컷**
02886FCA36,202412,뚝섬,0.9539512,95,Very High,매출 급락형,urgent,0.3,현 ****
BEF8CE3173,202412,금남시장,0.9437377,94,Very High,기타 위험,watch,0.6666666666666666,주연*******
438D6C2A0C,202412,금남시장,0.9330042,93,Very High,매출 급락형,urgent,0.3,미우*
E68206768A,202412,뚝섬,0.93775964,93,Very High,경쟁 열위형,important,0.4,타코********
8F6C066370,202412,마장동,0.9029603,90,Very High,매출 급락형,urgent,0.3,88**
40C78A09A2,202412,마장동,0.9054957,90,Very High,기타 위험,watch,0.0,형제**
643B6CDCC2,202412,신금호,0.9029603,90,Very High,매출 급락형,urgent,0.3,우리***
501AEDAE3D,202412,금남시장,0.89199317,89,Very High,매출 급락형,urgent,0.3,스쿨**********
36D30C9B49,202412,한양대,0.89199317,89,Very High,매출 급락형,urgent,0.3,왕가**
A730AA5039,202412,금남시장,0.89199317,89,Very High,매출 급락형,urgent,0.3,맘스******
7EC6C6C075,202412,뚝섬,0.8949263,89,Very High,기타 위험,watch,0.6666666666666666,다이********
BDD7EBEC25,202412,성수,0.88561434,88,Very High,매출 급락형,urgent,0.3,전광***
E0A583DB58,202412,금남시장,0.88561434,88,Very High,매출 급락형,urgent,0.3,카페***
81789768D6,202412,답십리,0.88561434,88,Very High,매출 급락형,urgent,0.3,하오*******
B05164E417,202412,성수,0.88561434,88,Very High,매출 급락형,urgent,0.3,호랑***
795AAE487C,202412,답십리,0.88561434,88,Very High,매출 급락형,urgent,0.3,김밥*
A9B8207363,202412,,0.88561434,88,Very High,매출 급락형,urgent,0.3,드립*****
AF2404C4F8,202412,한양대,0.8753643,87,Very High,매출 급락형,urgent,0.3,나희*****
969C25043A,202412,금남시장,0.8436244,84,Very High,기타 위험,watch,0.6666666666666666,빵(****
48D0F061EB,202412,,0.8452178,84,Very High,매출 급락형,urgent,0.3,카페***************
4EE6D5E718,202412,,0.8452178,84,Very High,매출 급락형,urgent,0.3,성화**********
B5A64F8167,202412,한양대,0.8452178,84,Very High,매출 급락형,urgent,0.3,군자*********
2B88E8F026,202412,성수,0.8306893,83,Very High,매출 급락형,urgent,0.3,미*
6C51945707,202412,,0.8306893,83,Very High,매출 급락형,urgent,0.3,군산**
AC70EA0FCD,202412,금남시장,0.83789134,83,Very High,기타 위험,watch,0.0,중화*
520511D96C,202412,한양대,0.82718086,82,Very High,매출 급락형,urgent,0.3,서울***
34F9A062DD,202412,성수,0.82718086,82,Very High,매출 급락형,urgent,0.3,명태*
DE5FF7193C,202412,답십리,0.82718086,82,Very High,매출 급락형,urgent,0.3,용답****
01744C5370,202412,성수,0.82718086,82,Very High,매출 급락형,urgent,0.3,성수*****
6E35613130,202412,성수,0.8054984,80,Very High,매출 급락형,urgent,0.3,토*
7679418849,202412,성수,0.80248666,80,Very High,매출 급락형,urgent,0.3,플록******
3B5C32604B,202412,한양대,0.80248666,80,Very High,매출 급락형,urgent,0.3,싱싱*****
572B665575,202412,,0.80248666,80,Very High,매출 급락형,urgent,0.3,이디***********
055A2785B9,202412,옥수,0.80248666,80,Very High,매출 급락형,urgent,0.3,커피***********
560D700A0A,202412,왕십리,0.80248666,80,Very High,매출 급락형,urgent,0.3,김승***
F3E07DF794,202412,성수,0.80248666,80,Very High,매출 급락형,urgent,0.3,토리***
8D18C2E99F,202412,왕십리,0.80248666,80,Very High,매출 급락형,urgent,0.3,달다*******
A72A1DD952,202412,행당,0.791141,79,High,매출 급락형,urgent,0.3,오릭******
F64BE13740,202412,뚝섬,0.791141,79,High,매출 급락형,urgent,0.3,성수*******************
0624A8697D,202412,마장동,0.79859143,79,High,매출 급락형,urgent,0.3,지선**
9608F27C4D,202412,뚝섬,0.717633,71,High,기타 위험,watch,0.6666666666666666,일월***
C380136CEA,202412,뚝섬,0.7132891,71,High,매출 급락형,urgent,0.3,누메***
EE2DE56210,202412,뚝섬,0.7182146,71,High,매출 급락형,urgent,0.3,팩피*******
1ABAFAF53E,202412,왕십리,0.7111245,71,High,매출 급락형,urgent,0.3,청년*******
4BF0C08F5F,202412,금남시장,0.7182146,71,High,매출 급락형,urgent,0.3,지니*****
389F10CE1E,202412,,0.7077013,70,High,매출 급락형,urgent,0.3,아지*
AAA62C4412,202412,왕십리,0.7029859,70,High,매출 급락형,urgent,0.3,손 ****
120283327E,202412,행당,0.63429344,63,High,경쟁 열위형,important,0.4,카페***
BF872A7E89,202412,장한평자동차,0.61406654,61,High,매출 급락형,urgent,0.3,매머**************
E51D6B5EE4,202412,행당,0.60195196,60,High,매출 급락형,urgent,0.3,60*******
BD97D048D7,202412,마장동,0.59800106,59,Medium,매출 급락형,urgent,0.3,소오**
C7CFDB1BF1,202412,뚝섬,0.59800106,59,Medium,매출 급락형,urgent,0.3,청담***
CA5307D30A,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,포레**
C0E191132C,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,강릉****************
C058744372,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,벧엘****
F2207F8023,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,엘레**
F7AD65B492,202412,신금호,0.59800106,59,Medium,매출 급락형,urgent,0.3,파리*********
FE826E7775,202412,금남시장,0.59800106,59,Medium,매출 급락형,urgent,0.3,빽다*********
FC6E670F70,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,커피**
EF154AC797,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,옛날**
F6B42598BE,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,길동**
EE6A4602A2,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,탕화******
E8869D79C1,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,미분*
E61969DA0F,202412,뚝섬,0.59800106,59,Medium,매출 급락형,urgent,0.3,컴포*******
EC9B3F9918,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,일일*********
EB1B4CDCD1,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,잠수**
DFD0B2EA28,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,왕코****
D709A19B89,202412,신금호,0.59800106,59,Medium,매출 급락형,urgent,0.3,수제********
D21FE6A7B4,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,브루******
D0ECE18966,202412,금남시장,0.59800106,59,Medium,매출 급락형,urgent,0.3,진미**
CAF68EC2CB,202412,마장동,0.59800106,59,Medium,매출 급락형,urgent,0.3,담*
BAFFCE9B97,202412,,0.59632397,59,Medium,기타 위험,watch,0.6666666666666666,등촌**********
B7C0ECA3FB,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,호호**
53E08ECF72,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,훈이*
5DB407D5B6,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,칸지*******
65D2C9E1E4,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,해밀******
6930EE8A71,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,탐앤********
61184A5430,202412,금남시장,0.59800106,59,Medium,매출 급락형,urgent,0.3,진미***
6C347DBCB1,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,레이********
7EB27EF0B4,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,화수*****
7563529BDC,202412,행당,0.59800106,59,Medium,매출 급락형,urgent,0.3,명가*******
5D68AB9C70,202412,뚝섬,0.59800106,59,Medium,매출 급락형,urgent,0.3,훼미********
5C5F3498B3,202412,뚝섬,0.59800106,59,Medium,매출 급락형,urgent,0.3,봉쥬*********
8E3ACDFC79,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,산고****
86167864F2,202412,옥수,0.59800106,59,Medium,매출 급락형,urgent,0.3,백소*****
830D91CD85,202412,옥수,0.59632397,59,Medium,기타 위험,watch,0.6666666666666666,깐부******
825BEADB27,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,멘츠*
8EAFB1D483,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,둘둘**
9218EE2A57,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,챔스*********
9B4EED47A6,202412,한양대,0.59800106,59,Medium,매출 급락형,urgent,0.3,마장**
9C1036E322,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,10******************
B24D425CDE,202412,한양대,0.59800106,59,Medium,매출 급락형,urgent,0.3,김밥**
B170208380,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,피자******
A902A53272,202412,옥수,0.59800106,59,Medium,매출 급락형,urgent,0.3,바르********
B1A8FD3571,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,파파*********
932E799577,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,룸템****
8D93FA8AF3,202412,행당,0.59800106,59,Medium,매출 급락형,urgent,0.3,파리********
733563490D,202412,뚝섬,0.59800106,59,Medium,매출 급락형,urgent,0.3,술있****
8123742D88,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,예당**
3AA1678CDE,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,왕십*****
4018B532A8,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,탐앤********
43B23BDD6B,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,홍콩***********
491274748A,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,오니******
2D1CF66EC7,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,오남***
2D2C0E00E6,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,24**************
2F35E163EB,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,촬*
2F5708B372,202412,한양대,0.59800106,59,Medium,매출 급락형,urgent,0.3,우리**
3074DF0C17,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,스시*************
3046541AF9,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,싸다**
309BDE407B,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,쥬스************
33361C935B,202412,행당,0.59800106,59,Medium,매출 급락형,urgent,0.3,만두**
385823BD41,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,담미*
098CE4D65F,202412,신금호,0.59800106,59,Medium,매출 급락형,urgent,0.3,사랑******
370B4F40C3,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,전자**
426E9843AA,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,피자****
41D2AB65FB,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,청담**********
424AAC4582,202412,뚝섬,0.59800106,59,Medium,매출 급락형,urgent,0.3,한우***
27751D8C2E,202412,한양대,0.59800106,59,Medium,매출 급락형,urgent,0.3,악어***
0AF7BD60A5,202412,답십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,카페***
1F4203EA83,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,카페**
2B89D787CB,202412,뚝섬,0.59800106,59,Medium,매출 급락형,urgent,0.3,왕짜*
291BA8B14B,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,청진****
2B9B91BE0C,202412,뚝섬,0.59800106,59,Medium,매출 급락형,urgent,0.3,청정*
0B4FFAC06D,202412,금남시장,0.59800106,59,Medium,매출 급락형,urgent,0.3,금호**
0BEDDE7AF8,202412,왕십리,0.5968291,59,Medium,매출 급락형,urgent,0.3,전여*
1C7B1712C9,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,포메********
1C55BF6FB8,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,구구**
170B8F1903,202412,뚝섬,0.59800106,59,Medium,매출 급락형,urgent,0.3,승리*
18AE11C714,202412,금남시장,0.59800106,59,Medium,매출 급락형,urgent,0.3,금호***
149BA1B7C7,202412,한양대,0.59800106,59,Medium,매출 급락형,urgent,0.3,써브******
15312BD018,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,수상***
13D9737A1D,202412,왕십리,0.59800106,59,Medium,매출 급락형,urgent,0.3,공차******
108EC801B1,202412,성수,0.59800106,59,Medium,매출 급락형,urgent,0.3,성수******
0E46A72EBB,202412,금남시장,0.59800106,59,Medium,매출 급락형,urgent,0.3,땅스********
0E0486902E,202412,,0.59800106,59,Medium,매출 급락형,urgent,0.3,혼합**
7656BE5765,202412,왕십리,0.5806846,58,Medium,매출 급락형,urgent,0.3,왕십****
3816AE5158,202412,,0.5889728,58,Medium,매출 급락형,urgent,0.5,서산***
BE9777DE4A,202412,,0.5700136,57,Medium,경쟁 열위형,important,0.4,커피******
E4FEADA057,202412,성수,0.55086267,55,Medium,경쟁 열위형,important,0.4,와일*****
DA38CBD132,202412,왕십리,0.5590895,55,Medium,매출 급락형,urgent,0.3,너디******
0C8BE8ECAD,202412,,0.52074623,52,Medium,기타 위험,watch,0.6666666666666666,카페******
1F8450ED67,202412,마장동,0.5145703,51,Medium,기타 위험,watch,0.0,신영****
FCBC6ED9BA,202412,성수,0.5115134,51,Medium,기타 위험,watch,0.6666666666666666,마이*********
29B5BE80D4,202412,성수,0.5061665,50,Medium,매출 급락형,urgent,0.3,원할***********
D3C7D7CE86,202412,옥수,0.4969988,49,Medium,매출 급락형,urgent,0.3,명가***
C3D19B4AAD,202412,,0.4969988,49,Medium,매출 급락형,urgent,0.3,연평********
88106077FD,202412,,0.4969988,49,Medium,매출 급락형,urgent,0.3,카페***
6EFA1D03C5,202412,한양대,0.4969988,49,Medium,매출 급락형,urgent,0.3,본초***
66BFBD2ADE,202412,성수,0.46656027,46,Medium,매출 급락형,urgent,0.3,강남***
39624DF65A,202412,답십리,0.46656027,46,Medium,매출 급락형,urgent,0.3,종로***
9DB801DF04,202412,한양대,0.4516551,45,Medium,매출 급락형,urgent,0.3,삼팔****
BF88411DC5,202412,행당,0.4441896,44,Medium,매출 급락형,urgent,0.3,행복*****
E64A353E00,202412,왕십리,0.44686204,44,Medium,기타 위험,watch,0.0,루비*****
4CE2C74657,202412,,0.44686204,44,Medium,기타 위험,watch,0.0,연*
2CC7A59E1B,202412,한양대,0.44686204,44,Medium,기타 위험,watch,0.0,다트***
F4835443B8,202412,답십리,0.44758675,44,Medium,매출 급락형,urgent,0.3,코너***************
5B5AE038F6,202412,,0.4441896,44,Medium,매출 급락형,urgent,0.3,에픽*****
098A971F35,202412,성수,0.44686204,44,Medium,기타 위험,watch,0.0,생태***
864DADCA45,202412,,0.443307,44,Medium,매출 급락형,urgent,0.3,화포********
85C6B72386,202412,장한평자동차,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,메가***************
A0F7C57228,202412,뚝섬,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,성수***
BC1CC776B0,202412,마장동,0.4327965,43,Medium,매출 급락형,urgent,0.3,웅이***
AEDB32EDA4,202412,,0.4327965,43,Medium,매출 급락형,urgent,0.3,대성**
0D98347CAA,202412,옥수,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,미*
178A3B9A58,202412,,0.4327965,43,Medium,매출 급락형,urgent,0.3,달꽃*
359DA6198A,202412,한양대,0.43092754,43,Medium,기타 위험,watch,0.6666666666666666,쭈식***
58D324F8BD,202412,뚝섬,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,릴레***********
640F63B1EB,202412,성수,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,성수**
50BB2EA330,202412,한양대,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,메가********
561E2A96EF,202412,,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,영구********
41CB64C3C9,202412,성수,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,다온**
15CFCB9040,202412,성수,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,옹근*
88DDED98E7,202412,왕십리,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,호두*****
9852E1C1E8,202412,왕십리,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,마린********
929615BC0A,202412,뚝섬,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,빽다*******
7BB9A47821,202412,성수,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,생강********
75E89D6E30,202412,마장동,0.4327965,43,Medium,매출 급락형,urgent,0.3,마장*********
74E2CC9A6B,202412,,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,블랙**
7D29798181,202412,마장동,0.4327965,43,Medium,매출 급락형,urgent,0.3,마천*********
7B8E77F9B2,202412,성수,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,뚝도**
590A329DB9,202412,뚝섬,0.4360463,43,Medium,기타 위험,watch,0.6666666666666666,소유*****
D756AE959B,202412,한양대,0.4297196,42,Medium,기타 위험,watch,0.6666666666666666,소나***
424ABA9D67,202412,뚝섬,0.42659447,42,Medium,기타 위험,watch,0.6666666666666666,젠틀*****
B918A3FB98,202412,성수,0.42955422,42,Medium,매출 급락형,urgent,0.3,에이********
20186EA812,202412,왕십리,0.42659447,42,Medium,기타 위험,watch,0.6666666666666666,한컵***
48F3AA695A,202412,성수,0.42659447,42,Medium,기타 위험,watch,0.6666666666666666,현방******
F0CC0C4D8F,202412,,0.4112428,41,Medium,매출 급락형,urgent,0.3,성동*******
0EC92894F0,202412,금남시장,0.4112428,41,Medium,매출 급락형,urgent,0.3,빙동*****
9B39FC5C56,202412,성수,0.4112428,41,Medium,매출 급락형,urgent,0.3,광장**
79F7BABD3E,202412,옥수,0.41409045,41,Medium,매출 급락형,urgent,0.3,하이**
9DE30019C9,202412,,0.4112428,41,Medium,매출 급락형,urgent,0.3,성수*************
80012F987D,202412,한양대,0.4112428,41,Medium,매출 급락형,urgent,0.3,타로*******
E03321589B,202412,성수,0.4112428,41,Medium,매출 급락형,urgent,0.3,앙심*****
20BF89EDFA,202412,,0.4112428,41,Medium,매출 급락형,urgent,0.3,산수*******
2DCB06D5D5,202412,성수,0.4112428,41,Medium,매출 급락형,urgent,0.3,김가***********
5654DA6B2C,202412,뚝섬,0.4112428,41,Medium,매출 급락형,urgent,0.3,써브*******
D401EA47BD,202412,성수,0.41254526,41,Medium,기타 위험,watch,0.6666666666666666,꿈*
D89DEC9B29,202412,성수,0.4112428,41,Medium,매출 급락형,urgent,0.3,맘스*******
D52B8311A4,202412,왕십리,0.4112428,41,Medium,매출 급락형,urgent,0.3,푸른**
C766BAD8FB,202412,왕십리,0.3943006,39,Low,기타 위험,watch,0.6666666666666666,빽다*******
6B516F9C6C,202412,,0.3943006,39,Low,기타 위험,watch,0.6666666666666666,골목**
F0A284DA09,202412,성수,0.3943006,39,Low,기타 위험,watch,0.6666666666666666,기*
AEC1C59A9D,202412,,0.3943006,39,Low,기타 위험,watch,0.6666666666666666,지우*
2FB475D73E,202412,,0.3743842,37,Low,매출 급락형,urgent,0.3,오버**********
485B0A3591,202412,,0.3788848,37,Low,기타 위험,watch,0.6666666666666666,크우***
94128748C0,202412,성수,0.3743842,37,Low,매출 급락형,urgent,0.3,행닭*****
2E4C72C286,202412,한양대,0.3788848,37,Low,기타 위험,watch,0.6666666666666666,고품*******
F1039455F0,202412,신금호,0.37079054,37,Low,매출 급락형,urgent,0.3,목포**
9BA9EBEA37,202412,왕십리,0.3743842,37,Low,매출 급락형,urgent,0.3,홍수************
9DFF61DC0F,202412,뚝섬,0.3743842,37,Low,매출 급락형,urgent,0.3,핫쵸****
DD4FCA5BE6,202412,,0.3691232,36,Low,기타 위험,watch,0.6666666666666666,싸부****
EC05B1ACA4,202412,신금호,0.35660297,35,Low,매출 급락형,urgent,0.3,피자**
050A4E0A6D,202412,성수,0.35235465,35,Low,매출 급락형,urgent,0.3,사거****
90C18D7863,202412,답십리,0.3436293,34,Low,매출 급락형,urgent,0.3,대성**
F74D26733C,202412,뚝섬,0.3491548,34,Low,기타 위험,watch,0.0,플디**********
35A4AA3FB1,202412,신금호,0.34117818,34,Low,경쟁 열위형,important,0.4,와플**********
0732DD7F6A,202412,한양대,0.33996177,33,Low,매출 급락형,urgent,0.3,내가***
2D9247837A,202412,뚝섬,0.3270401,32,Low,매출 급락형,urgent,0.3,은사**************
28CF1EBDA2,202412,,0.3289935,32,Low,매출 급락형,urgent,0.3,병천**
41D474F092,202412,한양대,0.3270401,32,Low,매출 급락형,urgent,0.3,행복***
DCF5AF5EC7,202412,한양대,0.3289935,32,Low,매출 급락형,urgent,0.3,포싸**
B5AFB737F5,202412,한양대,0.3270401,32,Low,매출 급락형,urgent,0.3,타*
A7429A4A77,202412,마장동,0.3042645,30,Low,매출 급락형,urgent,0.3,현대**
C7B69482A3,202412,성수,0.30324167,30,Low,기타 위험,watch,0.6666666666666666,스텀********
5DEC65272B,202412,금남시장,0.30315632,30,Low,기타 위험,watch,0.6666666666666666,허*
45F19425EF,202412,성수,0.30315632,30,Low,기타 위험,watch,0.6666666666666666,카페***
82E74E7BC1,202412,성수,0.3077383,30,Low,경쟁 열위형,important,0.4,고우**
167123A24F,202412,왕십리,0.30315632,30,Low,기타 위험,watch,0.6666666666666666,꼬랑**
A4A1BC46DF,202412,,0.2957849,29,Low,매출 급락형,urgent,0.3,고스****
E4D0E6B1B0,202412,성수,0.2957849,29,Low,매출 급락형,urgent,0.3,시브****
F78999A03F,202412,,0.2957849,29,Low,매출 급락형,urgent,0.3,진우*
F2AE4EF7AB,202412,행당,0.2957849,29,Low,매출 급락형,urgent,0.3,조조**
E7ADF04349,202412,,0.2957849,29,Low,매출 급락형,urgent,0.3,하*
F1A467E06E,202412,금남시장,0.2957849,29,Low,매출 급락형,urgent,0.3,한마*******
F290935883,202412,답십리,0.2957849,29,Low,매출 급락형,urgent,0.3,이디*********
F8A8FD6F7C,202412,성수,0.2957849,29,Low,매출 급락형,urgent,0.3,깐부******
1D20FA334E,202412,금남시장,0.2957849,29,Low,매출 급락형,urgent,0.3,간지******
33CEE3F3AA,202412,,0.2927561,29,Low,기타 위험,watch,0.6666666666666666,릴즈********
4ECBDBFE0C,202412,뚝섬,0.2957849,29,Low,매출 급락형,urgent,0.3,브샤*****
3D35397FAB,202412,금남시장,0.2957849,29,Low,매출 급락형,urgent,0.3,호주*********
6F5E4689DB,202412,,0.2957849,29,Low,매출 급락형,urgent,0.3,한경****
6B57A63A62,202412,한양대,0.2957849,29,Low,매출 급락형,urgent,0.3,왕십*****************
9AB9BE98E4,202412,성수,0.2957849,29,Low,매출 급락형,urgent,0.3,커피******
8F726BF561,202412,뚝섬,0.2957849,29,Low,매출 급락형,urgent,0.3,채마****
70C1CDADC9,202412,뚝섬,0.2957849,29,Low,매출 급락형,urgent,0.3,아프*****
12E8C996B1,202412,성수,0.2957849,29,Low,매출 급락형,urgent,0.3,국밥***
90A64A1805,202412,왕십리,0.2957849,29,Low,매출 급락형,urgent,0.3,무프*****
71C2A58868,202412,성수,0.2957849,29,Low,매출 급락형,urgent,0.3,요이****
7D728F3B80,202412,금남시장,0.2996959,29,Low,매출 급락형,urgent,0.3,금호*****
4A98122A06,202412,뚝섬,0.2957849,29,Low,매출 급락형,urgent,0.3,신*
147235F3A5,202412,옥수,0.2936315,29,Low,매출 급락형,urgent,0.3,돈까*
9E3E2C654F,202412,왕십리,0.2957849,29,Low,매출 급락형,urgent,0.3,컴포*********
C2A525F314,202412,장한평자동차,0.2957849,29,Low,매출 급락형,urgent,0.3,폭*
A8D93F0376,202412,옥수,0.2957849,29,Low,매출 급락형,urgent,0.3,옥수**
F602494665,202412,뚝섬,0.2957849,29,Low,매출 급락형,urgent,0.3,기엔*
F0CE500A65,202412,신금호,0.2957849,29,Low,매출 급락형,urgent,0.3,알고*****
F12D55091A,202412,성수,0.2957849,29,Low,매출 급락형,urgent,0.3,골드*******************
